name,address,lat,lng,rating,priceLevel,userRatingCount
"Tacos de guisado ""Las Cazuelas del Buchón""","C. I 98, José López Portillo, Iztapalapa, 09920 Ciudad de México, CDMX, Mexico",19.3078428,-99.083967,5,,10
Tacomaki Tacos y sushi,"C. 8, José López Portillo, Iztapalapa, 09920 Ciudad de México, CDMX, Mexico",19.307065599999998,-99.08130009999999,4.9,,18
Tacos Pa' Padrinos,"Av. de las Torres 107, La Esperanza, Iztapalapa, 09910 Ciudad de México, CDMX, Mexico",19.308496299999998,-99.0764167,4.1,,31
Tacos de Cecina Don Santos 2,"09940, Valle de San Lorenzo, Iztapalapa, 09940 Ciudad de México, CDMX, Mexico",19.2943398,-99.0764864,4.9,,17
Tacos El paisa,"C. 8 50-2, José López Portillo, Iztapalapa, 09920 Ciudad de México, CDMX, Mexico",19.305535799999998,-99.0823986,4.3,,7
Tacos Elvi Steck,"Tecnicos Y Manuales 34, Lomas Estrella 2da Secc, Iztapalapa, 09890 Ciudad de México, CDMX, Mexico",19.309583699999997,-99.090848,4.5,,2
Puesto de tacos los 7,"Anillo Periférico Canal de Garay - Canal de Chalco, 16036, Xochimilco, 16043 CDMX, Mexico",19.3037433,-99.0873673,4.1,,9
Tacos Frida,"Canal de Chalco, Triángulo de las Agujas I y II, Iztapalapa, 09880 Ciudad de México, CDMX, Mexico",19.3076387,-99.0897552,5,,1
Caldoz de gallina y tacos de cecina,"Calle 13 mz26 lt30 esquina 18, José López Portillo, Iztapalapa, 09920 Ciudad de México, CDMX, Mexico",19.3067422,-99.0791907,4,,3
Carnitas Tacos Don,"Río Fuerte, Valle de San Lorenzo, Iztapalapa, 09970 Ciudad de México, CDMX, Mexico",19.2982119,-99.0763159,4.4,PRICE_LEVEL_INEXPENSIVE,66
Tacos Los Güeros De Jalisco,"Río Michigan MZ12 LT5, Valle de San Lorenzo, Iztapalapa, 09970 Ciudad de México, CDMX, Mexico",19.2946766,-99.0788128,4.4,,845
Tacos Andrea,"San Antonio, 09900 Mexico City, CDMX, Mexico",19.309272,-99.07540019999999,5,,2
