Comunidad,Punto actual más cercano,ID radio actual,Distancia actual (km),Coordenadas Comunidad,ID Alternativa 1,Coordenadas Alternativa 1,Distancia Alternativa 1 (km),Ruta Alternativa 1 (Google Maps),ID Alternativa 2,Coordenadas Alternativa 2,Distancia Alternativa 2 (km),Ruta Alternativa 2 (Google Maps),ID Alternativa 3,Coordenadas Alternativa 3,Distancia Alternativa 3 (km),Ruta Alternativa 3 (Google Maps)
El Desmonte de Chuy,"(25.47913, -106.93961)",SI1818,31.08 km,"(25.47913, -106.93961)",SI0507,"(25.46960, -106.92968)",1.53 km,"https://www.google.com/maps/dir/25.47913,-106.93961/25.46960,-106.92968",CH0717,"(26.08042, -106.95358)",66.95 km,"https://www.google.com/maps/dir/25.47913,-106.93961/26.08042,-106.95358",CH2750,"(26.09427, -106.96368)",68.53 km,"https://www.google.com/maps/dir/25.47913,-106.93961/26.09427,-106.96368"
El Desmonte,"(25.47913, -106.93961)",SI1818,32.58 km,"(25.47913, -106.93961)",SI0507,"(25.46960, -106.92968)",1.53 km,"https://www.google.com/maps/dir/25.47913,-106.93961/25.46960,-106.92968",CH0717,"(26.08042, -106.95358)",66.95 km,"https://www.google.com/maps/dir/25.47913,-106.93961/26.08042,-106.95358",CH2750,"(26.09427, -106.96368)",68.53 km,"https://www.google.com/maps/dir/25.47913,-106.93961/26.09427,-106.96368"
El DÃ¡til,"(27.63280, -113.37650)",BS0472,31.38 km,"(27.6328, -113.3765)",BS7166,"(27.64461, -113.37842)",1.33 km,"https://www.google.com/maps/dir/27.6328,-113.3765/27.64461,-113.37842",BS0062,"(27.64135, -113.40076)",2.86 km,"https://www.google.com/maps/dir/27.6328,-113.3765/27.64135,-113.40076",BS1170,"(27.64259, -113.44306)",7.49 km,"https://www.google.com/maps/dir/27.6328,-113.3765/27.64259,-113.44306"
El DariÃ¡n,"(25.87042, -107.54683)",SI5998,45.33 km,"(25.87042, -107.54683)",SI6077,"(25.79969, -107.87472)",37.34 km,"https://www.google.com/maps/dir/25.87042,-107.54683/25.79969,-107.87472",SI0115,"(25.63297, -107.82622)",40.82 km,"https://www.google.com/maps/dir/25.87042,-107.54683/25.63297,-107.82622",SI9622,"(25.66825, -107.91614)",46.87 km,"https://www.google.com/maps/dir/25.87042,-107.54683/25.66825,-107.91614"
El Cuzal,"(28.16097, -108.57019)",CH2652,32.09 km,"(28.16097, -108.57019)",CH5404,"(28.19311, -108.37132)",22.43 km,"https://www.google.com/maps/dir/28.16097,-108.57019/28.19311,-108.37132",CH0784,"(27.87114, -108.21967)",50.63 km,"https://www.google.com/maps/dir/28.16097,-108.57019/27.87114,-108.21967",—,—,—,—
El Cuitaz,"(18.47569, -100.97771)",GR2165,35.73 km,"(18.47569, -100.97771)",MI7002,"(18.49447, -100.85883)",13.40 km,"https://www.google.com/maps/dir/18.47569,-100.97771/18.49447,-100.85883",MI0111,"(18.56417, -100.86835)",15.66 km,"https://www.google.com/maps/dir/18.47569,-100.97771/18.56417,-100.86835",GR0464,"(18.34305, -100.88518)",18.00 km,"https://www.google.com/maps/dir/18.47569,-100.97771/18.34305,-100.88518"
El Cuerno (Los Cuernos),"(21.44087, -104.48832)",NA5833,67.54 km,"(21.44087, -104.48832)",NA5834,"(21.42382, -104.44885)",4.79 km,"https://www.google.com/maps/dir/21.44087,-104.48832/21.42382,-104.44885",NA0192,"(21.42181, -104.61091)",13.81 km,"https://www.google.com/maps/dir/21.44087,-104.48832/21.42181,-104.61091",NA1421,"(21.34306, -104.57414)",14.49 km,"https://www.google.com/maps/dir/21.44087,-104.48832/21.34306,-104.57414"
El Cuerno,"(26.95484, -106.34788)",CH0369,41.55 km,"(26.95484, -106.34788)",CH0911,"(27.05566, -106.26396)",14.60 km,"https://www.google.com/maps/dir/26.95484,-106.34788/27.05566,-106.26396",CH5617,"(26.81694, -107.05728)",80.45 km,"https://www.google.com/maps/dir/26.95484,-106.34788/26.81694,-107.05728",CH0718,"(26.83303, -107.07060)",81.59 km,"https://www.google.com/maps/dir/26.95484,-106.34788/26.83303,-107.07060"
El Cuatro,"(28.91690, -104.67024)",CH6601,43.29 km,"(28.9169, -104.67024)",CH0301,"(29.03269, -104.65525)",13.00 km,"https://www.google.com/maps/dir/28.9169,-104.67024/29.03269,-104.65525",CH1359,"(28.76949, -104.52450)",23.08 km,"https://www.google.com/maps/dir/28.9169,-104.67024/28.76949,-104.52450",CH5585,"(28.31294, -104.55203)",68.51 km,"https://www.google.com/maps/dir/28.9169,-104.67024/28.31294,-104.55203"
El Cuajilote Grande,"(18.24280, -100.89106)",GR0456,31.30 km,"(18.2428, -100.89106)",GR2153,"(18.29553, -100.85231)",7.28 km,"https://www.google.com/maps/dir/18.2428,-100.89106/18.29553,-100.85231",GR0464,"(18.34305, -100.88518)",11.18 km,"https://www.google.com/maps/dir/18.2428,-100.89106/18.34305,-100.88518",GR7042,"(18.33944, -100.81833)",13.46 km,"https://www.google.com/maps/dir/18.2428,-100.89106/18.33944,-100.81833"
