Comunidad,Coordenadas Comunidad,ID radio actual,Punto actual más cercano,Distancia actual (km),ID Alternativa 1,Coordenadas Alternativa 1,Distancia Alternativa 1 (km),Ruta Alternativa 1 (Google Maps),ID Alternativa 2,Coordenadas Alternativa 2,Distancia Alternativa 2 (km),Ruta Alternativa 2 (Google Maps),ID Alternativa 3,Coordenadas Alternativa 3,Distancia Alternativa 3 (km),Ruta Alternativa 3 (Google Maps)
El Saucedo,"(18.93336, -100.97824)",MI4262,"(18.64277, -100.89956)",33.51 km,MI1393,"(18.63505, -100.89195)",34.57 km,"https://www.google.com/maps/dir/18.933362,-100.978239/18.63505,-100.89195",MI2334,"(18.62467, -100.90117)",35.42 km,"https://www.google.com/maps/dir/18.933362,-100.978239/18.62467222,-100.901175",MI1685,"(18.62160, -100.88683)",36.17 km,"https://www.google.com/maps/dir/18.933362,-100.978239/18.62160301,-100.8868332"
El Aguacatillo,"(18.90274, -101.11917)",MI5707,"(19.05797, -101.40989)",36.69 km,MI4262,"(18.64277, -100.89956)",37.88 km,"https://www.google.com/maps/dir/18.902736,-101.11917/18.642769,-100.899559",MI1393,"(18.63505, -100.89195)",39.09 km,"https://www.google.com/maps/dir/18.902736,-101.11917/18.63505,-100.89195",MI2334,"(18.62467, -100.90117)",39.33 km,"https://www.google.com/maps/dir/18.902736,-101.11917/18.62467222,-100.901175"
La Arboleda,"(18.99452, -101.08236)",MI5707,"(19.05797, -101.40989)",37.14 km,MI4262,"(18.64277, -100.89956)",44.13 km,"https://www.google.com/maps/dir/18.994519,-101.082357/18.642769,-100.899559",MI1393,"(18.63505, -100.89195)",45.28 km,"https://www.google.com/maps/dir/18.994519,-101.082357/18.63505,-100.89195",MI1526,"(19.20737, -101.43131)",45.50 km,"https://www.google.com/maps/dir/18.994519,-101.082357/19.20736944,-101.4313111"
Buenavista,"(18.95580, -101.10460)",MI5707,"(19.05797, -101.40989)",35.84 km,MI4262,"(18.64277, -100.89956)",41.66 km,"https://www.google.com/maps/dir/18.955802,-101.104598/18.642769,-100.899559",MI1393,"(18.63505, -100.89195)",42.84 km,"https://www.google.com/maps/dir/18.955802,-101.104598/18.63505,-100.89195",MI2334,"(18.62467, -100.90117)",43.26 km,"https://www.google.com/maps/dir/18.955802,-101.104598/18.62467222,-100.901175"
La Lagunilla,"(19.11359, -101.05363)",MI1530,"(19.42400, -100.90378)",38.37 km,MI2458,"(19.42190, -101.21420)",38.70 km,"https://www.google.com/maps/dir/19.113591,-101.053635/19.421898,-101.214195",MI0352,"(19.38686, -101.27492)",39.14 km,"https://www.google.com/maps/dir/19.113591,-101.053635/19.38686111,-101.2749167",MI5675,"(19.39272, -101.28130)",40.10 km,"https://www.google.com/maps/dir/19.113591,-101.053635/19.392723,-101.281303"
La OrdeÃ±a,"(19.10874, -101.08190)",MI5707,"(19.05797, -101.40989)",36.95 km,MI0352,"(19.38686, -101.27492)",37.69 km,"https://www.google.com/maps/dir/19.108737,-101.081904/19.38686111,-101.2749167",MI2458,"(19.42190, -101.21420)",37.84 km,"https://www.google.com/maps/dir/19.108737,-101.081904/19.421898,-101.214195",MI5675,"(19.39272, -101.28130)",38.63 km,"https://www.google.com/maps/dir/19.108737,-101.081904/19.392723,-101.281303"
Palo Verde,"(18.46290, -103.12069)",MI3038,"(18.77230, -103.16224)",34.75 km,MI5655,"(18.78114, -103.15643)",35.65 km,"https://www.google.com/maps/dir/18.462903,-103.120694/18.781139,-103.156433",MI0488,"(18.78103, -103.16914)",35.82 km,"https://www.google.com/maps/dir/18.462903,-103.120694/18.78102875,-103.169136",MI1889,"(18.60000, -103.50139)",45.04 km,"https://www.google.com/maps/dir/18.462903,-103.120694/18.6,-103.501389"
El ParaÃ­so,"(18.38825, -102.94833)",MI7528,"(18.07419, -102.75777)",40.89 km,MI9776,"(18.73733, -102.79256)",42.55 km,"https://www.google.com/maps/dir/18.388247,-102.948332/18.737333,-102.792557",MI3038,"(18.77230, -103.16224)",48.94 km,"https://www.google.com/maps/dir/18.388247,-102.948332/18.7723,-103.1622444",MI5655,"(18.78114, -103.15643)",49.49 km,"https://www.google.com/maps/dir/18.388247,-102.948332/18.781139,-103.156433"
Rancho de JimÃ©nez,"(18.37367, -102.98484)",MI7528,"(18.07419, -102.75777)",41.84 km,MI9776,"(18.73733, -102.79256)",45.79 km,"https://www.google.com/maps/dir/18.373672,-102.984839/18.737333,-102.792557",MI3038,"(18.77230, -103.16224)",48.57 km,"https://www.google.com/maps/dir/18.373672,-102.984839/18.7723,-103.1622444",MI5655,"(18.78114, -103.15643)",49.22 km,"https://www.google.com/maps/dir/18.373672,-102.984839/18.781139,-103.156433"
El Zapote,"(18.45748, -102.88887)",MI9776,"(18.73733, -102.79256)",32.95 km,MI7528,"(18.07419, -102.75777)",45.09 km,"https://www.google.com/maps/dir/18.457482,-102.888869/18.074194,-102.757774",MI3038,"(18.77230, -103.16224)",46.41 km,"https://www.google.com/maps/dir/18.457482,-102.888869/18.7723,-103.1622444",MI5655,"(18.78114, -103.15643)",46.75 km,"https://www.google.com/maps/dir/18.457482,-102.888869/18.781139,-103.156433"
