name,address,lat,lng,rating,userRatingCount,priceLevel,website,genAI
Mis amores enchiladas de nuestro México,"Av. Insurgentes Sur 3729, Miguel Hidalgo 1era Sección, Tlalpan, 14260 Ciudad de México, CDMX, Mexico",19.2930673,-99.1792564,4.5,1521,PRICE_LEVEL_MODERATE,,http://www.enchiladasmisamores.com.mx/
Tacos de guisado las Cazuelas Aris,"Av. del Imán 1242, Insurgentes Cuicuilco, Coyoacán, 04530 Ciudad de México, CDMX, Mexico",19.305118099999998,-99.18579779999999,4,2,,,
"Alimentos y Miscelánea ""Del Barrio Desde 1992""","Sabino 5-Manzana F Lote 8, Barrio de, San Fernando, Tlalpan, 14070 Ciudad de México, CDMX, Mexico",19.2958595,-99.1753559,4.3,56,,,http://barriosanfernandotlalpanmxico.blogspot.com/
Tacos Los Gemelos,"Nte. 1, Isidro Fabela, Tlalpan, 14030 Ciudad de México, CDMX, Mexico",19.3002233,-99.17647410000001,4.5,1638,PRICE_LEVEL_MODERATE,,https://www.facebook.com/tacoslosgemelos/
Perros y Burros Cuicuilco,"Av. Insurgentes Sur 3500, Manantial Peña Pobre, Tlalpan, 14060 Ciudad de México, CDMX, Mexico",19.2978927,-99.1808028,4.8,2701,PRICE_LEVEL_MODERATE,,https://www.perrosyburros.com/
ANTOJITOS Mr. CHIVO,"Calle 1a Cerrada Norte Manzana 5 Lote 15 S/N, Tlalpan, Isidro Fabela, Tlalpan, 14030 Ciudad de México, CDMX, Mexico",19.2999083,-99.1748382,4,155,PRICE_LEVEL_INEXPENSIVE,,
I-Reven Hamburguesas y Tacos,"Del Parque 8, Tlalpan Centro I, Tlalpan, 14000 Ciudad de México, CDMX, Mexico",19.2949183,-99.1820635,4.3,42,,,
THE HABANERO CHILLI PEPPERS II,"González Lobo 1, Romulo Sánchez Mireles, Tlalpan, 14070 Ciudad de México, CDMX, Mexico",19.297599599999998,-99.1748004,4.3,54,,,
"Tacos ""Leo""","C. 7 Ote. 85, Isidro Fabela, Tlalpan, 14030 Ciudad de México, CDMX, Mexico",19.2993626,-99.1704645,4.8,111,,,
Tacos Charly,"Av. San Fernando 201, Toriello Guerra, Tlalpan, 14050 Ciudad de México, CDMX, Mexico",19.2933371,-99.1699589,4.3,5880,PRICE_LEVEL_MODERATE,,
Taquería Caremmis,"Nte. 1 210, Isidro Fabela, Tlalpan, 14030 Ciudad de México, CDMX, Mexico",19.299948399999998,-99.1713501,4.9,13,,,https://taqueria.caremmis.negocio.site/
Tacos Brasil Copacabana,"Av. de la Libertad 118, Pedregal de Carrasco Secc 7ma, Coyoacán, 04700 Ciudad de México, CDMX, Mexico",19.305837,-99.169196,4.2,166,,,
El Tizoncito,"Periferico Sur 5938, Cantera Puente de la Piedra, Tlalpan, 14040 Ciudad de México, CDMX, Mexico",19.300920299999998,-99.1622216,3.9,588,PRICE_LEVEL_MODERATE,,http://www.eltizoncito.com.mx/
Taquitos árabes,"Renato Leduc, Av Renato Leduc 126, Toriello Guerra, Tlalpan, 14050 Ciudad de México, CDMX, Mexico",19.294709200000003,-99.16236169999999,4.4,55,,,
S'ta Carbón,"C. 7 Ote. 85, Isidro Fabela, Tlalpan, 14030 Ciudad de México, CDMX, Mexico",19.2993949,-99.1704522,5,5,,,https://www.facebook.com/Sta-Carb%C3%B3n-134022566998812/
Don Manolito Tacos,"Calle Peña Pobre 86, Toriello Guerra, Tlalpan, 14050 Ciudad de México, CDMX, Mexico",19.2937019,-99.16435969999999,4.2,502,PRICE_LEVEL_MODERATE,,https://tacosdonmanolito.com/sucursales/
Tacos de Guisado,"Calle 1 norte 297 Col. Isidro fabela Del, Isidro Fabela, Tlalpan, 14030 Ciudad de México, CDMX, Mexico",19.3000802,-99.1738613,4.5,2,,,
Tacos los Morenos,"C. 4 Ote. 79c, Isidro Fabela, Tlalpan, 14030 Ciudad de México, CDMX, Mexico",19.2997594,-99.1724177,3.7,3,,,
El Moustron,"Av. San Fernando 95, Toriello Guerra, Tlalpan, 14050 Ciudad de México, CDMX, Mexico",19.293078299999998,-99.16930479999999,4,1209,PRICE_LEVEL_MODERATE,,https://elmoustron.com.mx/
Happy Tacos,"Av. San Fernando 15, Toriello Guerra, Tlalpan, 14050 Ciudad de México, CDMX, Mexico",19.2941916,-99.1723894,5,3,,,
Los Cuñados,"Av. San Fernando 151, San Pedro Apostol, Tlalpan, 14070 Ciudad de México, CDMX, Mexico",19.2942347,-99.1725866,4.5,8,,,
Tacos Brigido,"Coyoacán, Exejido de Sta Úrsula Coapa, Coyoacán, 04650 Ciudad de México, CDMX, Mexico",19.3036664,-99.1592754,4.6,47,,,
LOS DINOS,"Fray Pedro de Gante 9, Belisario Domínguez, Tlalpan, 14080 Ciudad de México, CDMX, Mexico",19.2933481,-99.1565574,4.2,519,,,
CHILAQUILES Y TACOS ROSYFHER,"Calz. de Tlalpan 4471, Toriello Guerra, Tlalpan, 14050 Ciudad de México, CDMX, Mexico",19.2955422,-99.1552404,5,12,,,
Asadero Puerto Peñasco,"Av Renato Leduc 151, Toriello Guerra, Tlalpan, 14050 Ciudad de México, CDMX, Mexico",19.2947187,-99.16149109999999,4.4,237,PRICE_LEVEL_MODERATE,,
TACO BENI,"Vasco de Quiroga, Belisario Domínguez Secc 16, Tlalpan, 14080 Ciudad de México, CDMX, Mexico",19.2924656,-99.1541046,5,1,,,
"Brasa Y Carbón, tacos de corte.","Av iman, Comoporis esq, El Caracol, Coyoacán, 01439 Ciudad de México, CDMX, Mexico",19.3059114,-99.16169710000001,4.1,149,,,
TAQUERÍA EL GÜERO,"Ejido 45, Coapa, Ejido Viejo de Sta Úrsula Coapa, Coyoacán, 04650 Ciudad de México, CDMX, Mexico",19.302805,-99.1409001,4.3,415,PRICE_LEVEL_INEXPENSIVE,,
Taqueria Habannas,"Club América 47, Coapa, Villa Lázaro Cárdenas, Tlalpan, 14370 Ciudad de México, CDMX, Mexico",19.2983312,-99.1399423,4.3,377,PRICE_LEVEL_MODERATE,,
Tacos Don Roger,"Av. Sta. Úrsula 04980, Ejido Viejo de Sta Úrsula Coapa, Coyoacán, 04980 Ciudad de México, CDMX, Mexico",19.301473599999998,-99.1467474,5,3,,,
Taqueria Habbanas,"Club Necaxa 42, Coapa, Villa Lázaro Cárdenas, Tlalpan, 14370 Ciudad de México, CDMX, Mexico",19.29752,-99.1368,3,2,,,
Tacos el paisa,"Cda. Ejido 15, Coapa, Ejido Viejo de Sta Úrsula Coapa, Coyoacán, 04910 Ciudad de México, CDMX, Mexico",19.303786900000002,-99.1423289,3.4,5,,,
Taqueria Habanna's,"Av de las Torres 117, Coapa, Arboledas del Sur, Tlalpan, 14370 Ciudad de México, CDMX, Mexico",19.294648499999997,-99.1391592,4.4,2135,PRICE_LEVEL_INEXPENSIVE,,
Los de Bezas-K Tacos de Cabeza,"Santos 212, Coapa, Arboledas del Sur, Tlalpan, 14376 Ciudad de México, CDMX, Mexico",19.292825399999998,-99.1383846,4.6,412,PRICE_LEVEL_MODERATE,,
